Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,hasGarage,hasBsmt,hasAlley_Access,hasFireplace,hasPool,hasFence,hasMisc_Feature,hasMasVnr,GrLivAreaHighQualitySF,TotalIndoorSF,TotalOutdoorSF,TotalSF,BsmtBaths,Baths,hasBeenRemodeled,NumFloors
1,10.0,3.0,65.0,8450,1.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,7.0,4.0,2003,2003,1.0,1.0,12.0,13.0,1.0,196.0,4,3,2.0,4,3,3.0,2.0,706,6.0,0,150,856,1.0,5,1.0,4.0,856,854,0,1710,2.0,0.0,2.0,1.0,3.0,1.0,4,12.0,6.0,0.0,0,1.0,2003.0,2.0,4.0,548,3,3,2.0,0,61,0,0,0,0,0,0.0,1.0,0,4.0,2.0,8.0,4.0,208500,1,1,0,0,0,0,0,1,1710,2566,61,3175,1.0,2.5,0,3
2,5.0,3.0,80.0,9600,1.0,1.0,3.0,3.0,0.0,2.0,0.0,24.0,1.0,2.0,0.0,2.0,6.0,7.0,1976,1976,1.0,1.0,8.0,8.0,3.0,0.0,3,3,1.0,4,3,1.0,0.0,978,6.0,0,284,1262,1.0,5,1.0,4.0,1262,0,0,1262,0.0,2.0,2.0,0.0,3.0,1.0,3,10.0,6.0,1.0,3,1.0,1976.0,2.0,4.0,460,3,3,2.0,298,0,0,0,0,0,0,0.0,1.0,0,7.0,1.0,8.0,4.0,181500,1,1,0,1,0,0,0,1,1262,2524,0,2984,0.5,2.0,0,2
3,10.0,3.0,68.0,11250,1.0,1.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,7.0,4.0,2001,2002,1.0,1.0,12.0,13.0,1.0,162.0,4,3,2.0,4,3,2.0,2.0,486,6.0,0,434,920,1.0,5,1.0,4.0,920,866,0,1786,2.0,0.0,2.0,1.0,3.0,1.0,4,10.0,6.0,1.0,3,1.0,2001.0,2.0,4.0,608,3,3,2.0,0,42,0,0,0,0,0,0.0,1.0,0,11.0,2.0,8.0,4.0,223500,1,1,0,1,0,0,0,1,1786,2706,42,3356,1.0,2.5,1,3
4,11.0,3.0,60.0,9550,1.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,7.0,4.0,1915,1970,1.0,1.0,13.0,15.0,3.0,0.0,3,3,0.0,3,4,3.0,0.0,216,6.0,0,540,756,1.0,4,1.0,4.0,961,756,0,1717,2.0,0.0,1.0,0.0,3.0,1.0,4,11.0,6.0,1.0,4,5.0,1998.0,3.0,6.0,642,3,3,2.0,0,35,272,0,0,0,0,0.0,1.0,0,4.0,0.0,8.0,0.0,140000,1,1,0,1,0,0,0,1,1717,2473,307,3422,1.0,1.0,1,3
5,10.0,3.0,84.0,14260,1.0,1.0,0.0,3.0,0.0,2.0,0.0,15.0,2.0,2.0,0.0,5.0,8.0,4.0,2000,2000,1.0,1.0,12.0,13.0,1.0,350.0,4,3,2.0,4,3,0.0,2.0,655,6.0,0,490,1145,1.0,5,1.0,4.0,1145,1053,0,2198,2.0,0.0,2.0,1.0,4.0,1.0,4,13.0,6.0,1.0,3,1.0,2000.0,2.0,6.0,836,3,3,2.0,192,84,0,0,0,0,0,0.0,1.0,0,3.0,2.0,8.0,4.0,250000,1,1,0,1,0,0,0,1,2198,3343,84,4263,1.0,2.5,0,3
6,9.0,3.0,85.0,14115,1.0,1.0,0.0,3.0,0.0,4.0,0.0,11.0,2.0,2.0,0.0,0.0,5.0,4.0,1993,1995,1.0,1.0,12.0,13.0,3.0,0.0,3,3,5.0,4,3,3.0,2.0,732,6.0,0,64,796,1.0,5,1.0,4.0,796,566,0,1362,2.0,0.0,1.0,1.0,1.0,1.0,3,9.0,6.0,0.0,0,1.0,1993.0,3.0,4.0,480,3,3,2.0,40,30,0,320,0,0,0,3.0,3.0,700,1.0,3.0,8.0,4.0,143000,1,1,0,0,0,1,1,1,1362,2158,350,2988,1.0,1.5,1,3
7,5.0,3.0,75.0,10084,1.0,1.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,8.0,4.0,2004,2005,1.0,1.0,12.0,13.0,4.0,186.0,4,3,2.0,5,3,0.0,2.0,1369,6.0,0,317,1686,1.0,5,1.0,4.0,1694,0,0,1694,2.0,0.0,2.0,0.0,3.0,1.0,4,11.0,6.0,1.0,4,1.0,2004.0,2.0,4.0,636,3,3,2.0,255,57,0,0,0,0,0,0.0,1.0,0,10.0,1.0,8.0,4.0,307000,1,1,0,1,0,0,0,1,1694,3380,57,4073,1.0,2.0,1,2
8,10.0,3.0,89.13,10382,1.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,5.0,7.0,5.0,1973,1973,1.0,1.0,6.0,6.0,4.0,240.0,3,3,1.0,4,3,2.0,0.0,859,1.0,32,216,1107,1.0,5,1.0,4.0,1107,983,0,2090,2.0,0.0,2.0,1.0,3.0,1.0,3,11.0,6.0,2.0,3,1.0,1973.0,2.0,4.0,484,3,3,2.0,235,204,228,0,0,0,0,0.0,3.0,350,2.0,3.0,8.0,4.0,200000,1,1,0,1,0,0,1,1,2090,3197,432,4113,1.0,2.5,0,3
9,9.0,4.0,51.0,6120,1.0,1.0,3.0,3.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,0.0,7.0,4.0,1931,1950,1.0,1.0,3.0,15.0,3.0,0.0,3,3,0.0,3,3,3.0,6.0,0,6.0,0,952,952,1.0,4,1.0,1.0,1022,752,0,1774,0.0,0.0,2.0,0.0,2.0,2.0,3,12.0,2.0,2.0,3,5.0,1931.0,3.0,4.0,468,2,3,2.0,90,0,205,0,0,0,0,0.0,1.0,0,6.0,2.0,8.0,0.0,129900,1,1,0,1,0,0,0,1,1774,2726,205,3399,0.0,2.0,1,3
10,4.0,3.0,50.0,7420,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,5.0,1939,1950,1.0,1.0,8.0,8.0,3.0,0.0,3,3,0.0,3,3,3.0,2.0,851,6.0,0,140,991,1.0,5,1.0,4.0,1077,0,0,1077,2.0,0.0,1.0,0.0,2.0,2.0,3,9.0,6.0,2.0,3,1.0,1939.0,2.0,2.0,205,4,3,2.0,0,4,0,0,0,0,0,0.0,1.0,0,0.0,2.0,8.0,4.0,118000,1,1,0,1,0,0,0,1,1077,2068,4,2277,1.0,1.0,1,2
